source,engine,relative_path,filename,file_size_bytes_json,object_count,top_dir,map_type_code,map_region,map_number,map_variant,map_suffix,canonical_name
CotC,UE4.26,Level/Area/Gacha/Effects/P_Lv5_Aura,P_Lv5_Aura,29954,27,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_Lv6_Aura,P_Lv6_Aura,142254,85,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_OrbGlowBlueLights,P_OrbGlowBlueLights,78590,44,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_OrbGlowBlueLightsS,P_OrbGlowBlueLightsS,41825,30,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_OrbGlowBlueLights_op,P_OrbGlowBlueLights_op,30722,26,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_TapStart_Wave,P_TapStart_Wave,95111,62,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_TapStart_Wave_L,P_TapStart_Wave_L,80505,49,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_ex_8x8_tesla,P_ex_8x8_tesla,14646,13,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_ex_8x8_tesla_L,P_ex_8x8_tesla_L,66304,36,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_flare_Start_C,P_flare_Start_C,59396,47,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_flare_Start_D,P_flare_Start_D,26055,23,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Lv_Gh_All,Lv_Gh_All,105746,107,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_A_Ring_06,Sq_Gh_A_Ring_06,322281,120,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_C_Map_03,Sq_Gh_C_Map_03,290542,111,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_C_Map_04,Sq_Gh_C_Map_04,286417,111,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_C_Map_05,Sq_Gh_C_Map_05,313438,120,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_C_Map_06,Sq_Gh_C_Map_06,323289,124,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_a_Ring_03,Sq_Gh_a_Ring_03,306115,114,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_a_Ring_04,Sq_Gh_a_Ring_04,298236,114,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Level/Sq_Gh_a_Ring_05,Sq_Gh_a_Ring_05,280432,104,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/FxMii_Gh_LV3Letter_A,FxMii_Gh_LV3Letter_A,46440,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/FxMii_Gh_LV4Letter_A,FxMii_Gh_LV4Letter_A,46440,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/FxMii_Gh_LV5Letter_A,FxMii_Gh_LV5Letter_A,45888,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/FxMii_Gh_bloompower,FxMii_Gh_bloompower,133350,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Jewel_Emissive,Jewel_Emissive,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/MF_JewelSpec,MF_JewelSpec,331,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/MT_Jewel,MT_Jewel,33372,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/MT_JewelInst,MT_JewelInst,3215,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/M_Blank_Cube,M_Blank_Cube,13225,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/M_Snow_Blowing_unLit,M_Snow_Blowing_unLit,34138,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/M_ex_8x8_tesla,M_ex_8x8_tesla,29982,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/M_ex_Parent,M_ex_Parent,68653,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_A,Mt_DissCloudAnim_A,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_A_Inst,Mt_DissCloudAnim_A_Inst,2067,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_B,Mt_DissCloudAnim_B,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_B_Inst,Mt_DissCloudAnim_B_Inst,2065,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_C,Mt_DissCloudAnim_C,18721,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_D,Mt_DissCloudAnim_D,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_D_Inst,Mt_DissCloudAnim_D_Inst,1607,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_E,Mt_DissCloudAnim_E,18721,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_F,Mt_DissCloudAnim_F,26465,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_F_Inst,Mt_DissCloudAnim_F_Inst,2071,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_G,Mt_DissCloudAnim_G,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_G_Inst,Mt_DissCloudAnim_G_Inst,2072,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_H,Mt_DissCloudAnim_H,18721,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_I,Mt_DissCloudAnim_I,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_I_Inst,Mt_DissCloudAnim_I_Inst,2067,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_J,Mt_DissCloudAnim_J,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_J_Inst,Mt_DissCloudAnim_J_Inst,2072,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_K,Mt_DissCloudAnim_K,18721,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_L,Mt_DissCloudAnim_L,21255,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_L_Inst,Mt_DissCloudAnim_L_Inst,2067,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_M,Mt_DissCloudAnim_M,18721,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloudAnim_N,Mt_DissCloudAnim_N,18721,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloud_01,Mt_DissCloud_01,22810,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissCloud_01_Inst,Mt_DissCloud_01_Inst,2304,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrBlack_A,Mt_DissClrBlack_A,18660,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrBlack_RingSt,Mt_DissClrBlack_RingSt,15588,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrBlue_A,Mt_DissClrBlue_A,20321,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrBlue_A_Inst,Mt_DissClrBlue_A_Inst,1890,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrOrange_A_Inst,Mt_DissClrOrange_A_Inst,1887,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrWhite_C,Mt_DissClrWhite_C,48405,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrWhite_Final,Mt_DissClrWhite_Final,19358,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrWhite_Final_Inst,Mt_DissClrWhite_Final_Inst,1835,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissClrWhite_Start,Mt_DissClrWhite_Start,31950,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_DissGhCloud_C,Mt_DissGhCloud_C,21245,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Dissolve_01,Mt_Dissolve_01,31927,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Elf_RingOrg2,Mt_Elf_RingOrg2,80219,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Elf_RingOrg_Inst5test,Mt_Elf_RingOrg_Inst5test,8477,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Aura,Mt_Gacha_Aura,37096,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Aura4_Inst,Mt_Gacha_Aura4_Inst,2585,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Aura5_Inst,Mt_Gacha_Aura5_Inst,4276,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Aura5_Inst_2,Mt_Gacha_Aura5_Inst_2,4454,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Aura5_Inst_3,Mt_Gacha_Aura5_Inst_3,4455,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Aura6_Inst,Mt_Gacha_Aura6_Inst,4276,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Fire_B,Mt_Gacha_Fire_B,40389,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Fire_B_Inst,Mt_Gacha_Fire_B_Inst,2354,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Map_Pre_B,Mt_Gacha_Map_Pre_B,22447,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Map_Pre_B_Inst,Mt_Gacha_Map_Pre_B_Inst,2606,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Map_Pre_C,Mt_Gacha_Map_Pre_C,24282,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Map_Pre_C_Inst,Mt_Gacha_Map_Pre_C_Inst,2663,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Map_Taptest,Mt_Gacha_Map_Taptest,3490,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Mt_Gacha_Map_tap,Mt_Gacha_Map_tap,26963,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/PL_DissClrBlue,PL_DissClrBlue,521,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/PL_DissClrWhite_A,PL_DissClrWhite_A,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/PL_DissClrWhite_B,PL_DissClrWhite_B,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/PL_DissClrWhite_C,PL_DissClrWhite_C,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/PL_DissMpAround_A,PL_DissMpAround_A,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_Aura_A,Pl_Aura_A,641,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCard_01,Pl_DissCard_01,521,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCard_03,Pl_DissCard_03,521,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_A,Pl_DissCloudAnim_A,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_B,Pl_DissCloudAnim_B,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_C,Pl_DissCloudAnim_C,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_D,Pl_DissCloudAnim_D,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_E,Pl_DissCloudAnim_E,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_F,Pl_DissCloudAnim_F,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_G,Pl_DissCloudAnim_G,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_H,Pl_DissCloudAnim_H,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_I,Pl_DissCloudAnim_I,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_J,Pl_DissCloudAnim_J,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_K,Pl_DissCloudAnim_K,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_L,Pl_DissCloudAnim_L,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_M,Pl_DissCloudAnim_M,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloudAnim_N,Pl_DissCloudAnim_N,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCloud_01,Pl_DissCloud_01,522,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissClrBlack_A,Pl_DissClrBlack_A,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissClrBlack_B,Pl_DissClrBlack_B,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissClrBlack_End,Pl_DissClrBlack_End,526,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissClrBlack_RingSt,Pl_DissClrBlack_RingSt,529,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissClrWhite_D,Pl_DissClrWhite_D,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissClrWhite_Start,Pl_DissClrWhite_Start,528,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissCover_01,Pl_DissCover_01,522,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissDotChar_01,Pl_DissDotChar_01,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissDotChar_03,Pl_DissDotChar_03,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissGhCloud_A,Pl_DissGhCloud_A,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissGhCloud_B,Pl_DissGhCloud_B,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissGhCloud_C,Pl_DissGhCloud_C,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissGhGodRay_A,Pl_DissGhGodRay_A,524,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissLetter_01,Pl_DissLetter_01,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissLetter_02,Pl_DissLetter_02,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissLetter_03,Pl_DissLetter_03,523,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissName_01,Pl_DissName_01,521,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissRis_01,Pl_DissRis_01,520,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_DissStar_01,Pl_DissStar_01,521,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_Gacha_Map_Pre_C,Pl_Gacha_Map_Pre_C,525,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_GhRis_A,Pl_GhRis_A,515,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Material/Pl_MapFar_01,Pl_MapFar_01,519,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/Elf_Jewel_06,Elf_Jewel_06,4361,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/Elf_Ring_new,Elf_Ring_new,4377,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/FxMD_Gacya_Aura_B,FxMD_Gacya_Aura_B,4425,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/FxMD_Gatya_Aura_A,FxMD_Gatya_Aura_A,4311,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/PlnCp_GhMap_Dummy,PlnCp_GhMap_Dummy,4316,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/Pln_ClBlack_RingSt,Pln_ClBlack_RingSt,4324,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/StaticMesh/Pln_DiSSCloudAnim_Dummy,Pln_DiSSCloudAnim_Dummy,4441,3,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/Black,Black,827,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/Cloud,Cloud,841,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/Cover_02,Cover_02,844,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/Elf_Ring_c,Elf_Ring_c,895,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/Elf_Ring_n,Elf_Ring_n,972,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/FxTX_Gacha_Rainbow,FxTX_Gacha_Rainbow,2948,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/FxTX_Gacha_Rainbow_B,FxTX_Gacha_Rainbow_B,2950,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/FxTx_Gacha_fire_B,FxTx_Gacha_fire_B,3281,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/GachaCloud_A,GachaCloud_A,848,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/GachaCloud_A1,GachaCloud_A1,849,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/GachaCloud_B,GachaCloud_B,848,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/GachaCloud_C,GachaCloud_C,848,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/LighitBlue_00,LighitBlue_00,835,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/LighitBlue_01,LighitBlue_01,835,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_A_Aura00,T_A_Aura00,818,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_Jewel,T_Jewel,841,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_MacroVariation,T_MacroVariation,854,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_Metal_Gold_N,T_Metal_Gold_N,970,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_Noise_Cloud,T_Noise_Cloud,849,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_SmokeSubUV_8X8_02,T_SmokeSubUV_8X8_02,898,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_Swirlmap,T_Swirlmap,868,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_TilingClouds_01,T_TilingClouds_01,859,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_TilingNoise03,T_TilingNoise03,851,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_ex_4x4_cold,T_ex_4x4_cold,898,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/T_ex_8x8_shockwave,T_ex_8x8_shockwave,906,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/UiTX_Common_EFTex_Cloud_MTex_png,UiTX_Common_EFTex_Cloud_MTex_png,901,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/UiTX_Common_WorldMap_blur,UiTX_Common_WorldMap_blur,860,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/UiTX_Gacha_TouchScreen_Set,UiTX_Gacha_TouchScreen_Set,898,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/White_00,White_00,830,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/renewal_letterbloom,renewal_letterbloom,901,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Texture/testnewksletter,testnewksletter,897,1,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Widget/BP/GachaChRarity,GachaChRarity,530358,303,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Widget/BP/GachaChRarity_QPS02,GachaChRarity_QPS02,755572,394,Area,,,,,,
