object_type,cotc_count,ot0_count,difference,in_cotc_only,in_ot0_only,in_both
BPI_Obj_Torch_A_HellCliff_Decal_C,263,127,-136,False,False,True
LandscapeGizmoActiveActor,260,125,-135,False,False,True
NpcComponent,250,0,-250,True,False,False
DistributionFloatConstant,244,72,-172,False,False,True
ParticleLODLevel,223,72,-151,False,False,True
MapObjectConvertedFoliage,221,3339,3118,False,False,True
MovieSceneIntegerSection,220,0,-220,True,False,False
MovieSceneIntegerTrack,220,0,-220,True,False,False
SkeletalMeshActor,215,226,11,False,False,True
BPI_Obj_Lamp_Residence_A_F1_on_C,215,20,-195,False,False,True
SkeletalMeshComponent,215,228,13,False,False,True
BPi_Torch_D_C,201,0,-201,True,False,False
GridSlot,196,0,-196,True,False,False
PointLightComponent,195,7552,7357,False,False,True
AtomSoundData,193,1213,1020,False,False,True
BP_OceanWater_C,192,181,-11,False,False,True
PointLight,192,3423,3231,False,False,True
MovieSceneVectorTrack,188,0,-188,True,False,False
MovieSceneVectorSection,188,0,-188,True,False,False
BookMark,180,190,10,False,False,True
MovieSceneBindingOverrides,175,1,-174,False,False,True
LevelSequenceActor,175,1,-174,False,False,True
LevelSequenceBurnInOptions,175,1,-174,False,False,True
DefaultLevelSequenceInstanceData,175,1,-174,False,False,True
ParticleSpriteEmitter,172,36,-136,False,False,True
ParticleModuleRequired,170,36,-134,False,False,True
BPI_Obj_Pyramid_Torch_A_C,167,0,-167,True,False,False
ParticleModuleSpawn,167,36,-131,False,False,True
QPPostProcessVolume,165,0,-165,True,False,False
ParticleModuleSize,164,36,-128,False,False,True
BPI_Obj_Torch_Ground_EnvSound_C,163,131,-32,False,False,True
SkyLightComponent,163,281,118,False,False,True
BPI_Obj_Heaven_Torch_B_C,161,229,68,False,False,True
BP_LightBeam_Rainbow_C,159,61,-98,False,False,True
MovieScene2DTransformTrack,155,0,-155,True,False,False
MovieScene2DTransformSection,155,0,-155,True,False,False
ParticleModuleLifetime,154,28,-126,False,False,True
BPI_Obj_Lamp_Lantern_A_on_C,150,2,-148,False,False,True
BPi_Torch_A_C,149,0,-149,True,False,False
BPI_Obj_Lamp_Residence_A_SR1_on_C,145,0,-145,True,False,False
BPI_Obj_Lamp_Residence_A_F2_on_C,144,40,-104,False,False,True
BPI_Obj_Lamp_Residence_A_SL1_on_C,141,0,-141,True,False,False
BPi_Mansion_C_Wall_400_1F_C,132,0,-132,True,False,False
BPI_Obj_Torch_Wall_A_EnvSound_C,130,16,-114,False,False,True
Image,129,0,-129,True,False,False
LightMapTexture2D,128,160,32,False,False,True
ShadowMapTexture2D,128,80,-48,False,False,True
BPI_Obj_Heaven_Torch_B_Strong_C,125,56,-69,False,False,True
KSMapChipBlockParent,123,94,-29,False,False,True
Landscape,123,316,193,False,False,True
MovieSceneSubTrack,120,0,-120,True,False,False
ParticleModuleLocation,117,28,-89,False,False,True
ParticleModuleColor,111,25,-86,False,False,True
ParticleModuleSizeMultiplyLife,108,32,-76,False,False,True
MovieSceneBoolSection,102,0,-102,True,False,False
BPI_Obj_Torch_Wall_Hornburg_A_EnvSound_C,100,0,-100,True,False,False
ParticleModuleColorScaleOverLife,98,33,-65,False,False,True
SCS_Node,95,23,-72,False,False,True
ParticleModuleParameterDynamic,93,28,-65,False,False,True
BPI_Obj_Lamp_Table_A_on_C,93,23,-70,False,False,True
MovieSceneWidgetMaterialTrack,92,0,-92,True,False,False
TimeZoneLightParam,92,0,-92,True,False,False
BPI_Obj_Lamp_Residence_A_SR1_on_Hell_C,90,0,-90,True,False,False
ParticleModuleColorOverLife,89,8,-81,False,False,True
BP_Lamp_D_CandleStick_Tri_Wall_Dungeon_C,89,0,-89,True,False,False
RecoveryPointComponent,89,0,-89,True,False,False
BPI_Obj_Lamp_Residence_A_F1_on_Hell_C,88,0,-88,True,False,False
ParticleModuleVelocity,87,36,-51,False,False,True
BPI_Obj_Bernstein_Torch_B_C,87,0,-87,True,False,False
BPI_Obj_Lamp_Residence_A_SL1_on_Hell_C,86,0,-86,True,False,False
BP_WaterFall_E_C,86,2,-84,False,False,True
BPi_Torch_B_C,84,0,-84,True,False,False
EnvSoundTimeZone,82,0,-82,True,False,False
MapBuildDataRegistry,81,54,-27,False,False,True
BPI_Obj_Heaven_Torch_A_C,78,84,6,False,False,True
BPI_Obj_Torch_B_Wall_EnvSound_C,76,66,-10,False,False,True
ParticleModuleRotation,73,16,-57,False,False,True
BPI_Obj_Torch_Hang_C,73,37,-36,False,False,True
BPI_Obj_Cloth_A_C,72,76,4,False,False,True
MovieSceneParticleTrack,70,0,-70,True,False,False
MovieSceneParticleSection,70,0,-70,True,False,False
BPi_Torch_C_C,69,0,-69,True,False,False
BPI_Obj_Lamp_Castle_Wall_A_F2_on_C,67,0,-67,True,False,False
BPi_Mansion_C_Wall_Deco_400_1F_C,66,0,-66,True,False,False
MovieSceneBoolTrack,65,0,-65,True,False,False
BPi_Mansion_C_Wall_400_2F_C,64,0,-64,True,False,False
BP_Wilderness_B_Loop_H2_A_C,62,0,-62,True,False,False
Material,62,3,-59,False,False,True
BP_FireFly_C,60,0,-60,True,False,False
TextureCube,60,0,-60,True,False,False
BPI_Obj_Torch_D_Cave_EnvSound_Blizzerd_Decal_C,58,52,-6,False,False,True
ParticleSystem,57,4,-53,False,False,True
BPI_Obj_Fireplace_C_C,57,46,-11,False,False,True
BP_Canoedock_Left_C,56,0,-56,True,False,False
BPi_Torch_Wall_A_AllFire_C,56,0,-56,True,False,False
TimeZoneEmitterParam,52,0,-52,True,False,False
BP_LightBeamTimeZone_NoTimeZone_C,52,0,-52,True,False,False
BPi_Mansion_C_Wall_Deco_400_2F_C,52,0,-52,True,False,False
BPI_Obj_Torch_Wall_A_R_C,52,10,-42,False,False,True
BPi_Wilderness_B_Loop_H4_E_C,51,0,-51,True,False,False
PaperSpriteComponent,51,0,-51,True,False,False
ParticleModuleRotationRate,51,16,-35,False,False,True
BPI_Obj_Torch_Wall_A_L_C,51,7,-44,False,False,True
GridPanel,49,0,-49,True,False,False
BP_WaterFall_D_C,49,8,-41,False,False,True
BPI_Obj_Lamp_Residence_A_F2_on_Hell_C,48,0,-48,True,False,False
BP_Mansion_D_Wall_400_C,48,0,-48,True,False,False
MaterialParameterCollection,47,1,-46,False,False,True
BP_Canoedock_Right_C,46,0,-46,True,False,False
BP_Lamp_E_CandleStick_One_Wall_C,46,0,-46,True,False,False
BPi_Wilderness_B_Loop_H2_B_C,44,0,-44,True,False,False
BP_FoliageGrass_B_MA_C,44,0,-44,True,False,False
TimeZoneDirector,43,0,-43,True,False,False
BPI_Obj_Com_Counter_Shelf_A_C,43,34,-9,False,False,True
BPI_Obj_Snow_Lantern_A_C,43,40,-3,False,False,True
MaterialInstanceConstant,42,2,-40,False,False,True
BPi_Wilderness_B_Loop_H2_C_C,42,0,-42,True,False,False
BP_Chandelier_B_AlwaysFire_C,41,0,-41,True,False,False
BP_Chandelier_A_Church_C,41,48,7,False,False,True
BPI_Obj_Torch_Ground_Hornburg_EnvSound_C,39,44,5,False,False,True
BPi_Mansion_D_Wall_Deco_400_2F_C,38,0,-38,True,False,False
SplineMeshComponent,37,426,389,False,False,True
WidgetAnimation,37,0,-37,True,False,False
MovieSceneVisibilityTrack,37,0,-37,True,False,False
ShipAnimation_Blueprint1_C,36,32,-4,False,False,True
BPI_Obj_Torch_Hang_B_C,36,24,-12,False,False,True
BPi_Mansion_C_Wall_200_1F_C,36,0,-36,True,False,False
ParticleModuleAccelerationDrag,36,20,-16,False,False,True
BP_Chandelier_D_Grow_C,35,0,-35,True,False,False
BPI_Obj_Cloth_B_C,35,29,-6,False,False,True
BPI_Obj_Torch_Wall_Hornburg_A_L_C,34,0,-34,True,False,False
BP_Spinning_Torso_C,34,0,-34,True,False,False
BPI_Obj_Com_Smith_Shelf_A_C,34,29,-5,False,False,True
BP_Lamp_D_CandleStick_Tri_Wall_Dungeon_Dither_C,34,0,-34,True,False,False
BPi_Wilderness_B_Loop_H4_C_C,34,0,-34,True,False,False
MovieSceneMarginTrack,33,0,-33,True,False,False
BP_Lamp_Stand_A_Many_C,33,0,-33,True,False,False
MovieSceneMarginSection,33,0,-33,True,False,False
PaperSpriteActor,33,0,-33,True,False,False
ParticleModuleLocationPrimitiveSphere,32,4,-28,False,False,True
BPI_Obj_Candle_B_on_C,32,0,-32,True,False,False
BPI_Obj_Scarab_lamp_A_on_C,31,1,-30,False,False,True
MapChipAnimation_Blueprint_A_C,30,5,-25,False,False,True
BPi_Mansion_C_Wall_200_2F_C,30,0,-30,True,False,False
BPI_Obj_Lamp_Edlus_3D_on_C,30,0,-30,True,False,False
BP_Lamp_D_CandleStick_Tri_Wall_Dungeon_Deco_C,29,0,-29,True,False,False
BPI_Obj_Com_KitchenSet_D_C,29,15,-14,False,False,True
BPI_Obj_Torch_Wall_Hornburg_A_R_C,29,0,-29,True,False,False
BPI_Obj_Altar_Torch_A_Decal_C,28,23,-5,False,False,True
BPI_Obj_Com_Pub_Shelf_B_A_C,28,35,7,False,False,True
BPI_Obj_Com_KitchenSet_E_C,28,14,-14,False,False,True
BPi_LightStudio_Fst_A_C,28,0,-28,True,False,False
ParticleModuleAcceleration,27,20,-7,False,False,True
MovieSceneEventTriggerSection,27,0,-27,True,False,False
BPI_Obj_Torch_A_NoLod_C,27,3,-24,False,False,True
MovieSceneEventTrack,27,0,-27,True,False,False
BPI_Obj_Heaven_Torch_A_Strong_C,26,48,22,False,False,True
ParticleModuleTypeDataGpu,26,4,-22,False,False,True
BPI_Obj_Bernstein_Torch_A_C,26,0,-26,True,False,False
BP_WaterFall_B_C,26,0,-26,True,False,False
BPI_Obj_Lamp_Edlus_3D_on_Hell_C,26,0,-26,True,False,False
BPi_TorchStand_B_C,26,0,-26,True,False,False
BPI_Obj_Torch_A_HellRed_Decal_C,26,0,-26,True,False,False
BPI_Obj_Com_Room_Staires_16_Left_C,25,31,6,False,False,True
BPI_Obj_Com_KitchenSet_C_C,25,16,-9,False,False,True
DistributionFloatConstantCurve,25,12,-13,False,False,True
BPi_LightStudio_Mnt_A_C,25,0,-25,True,False,False
MapChipAnimation_Blueprint_B_C,24,5,-19,False,False,True
BPI_Obj_Com_Pub_Shelf_A_A_C,24,17,-7,False,False,True
BPi_Wilderness_B_End_H2_E_C,24,0,-24,True,False,False
BPI_Obj_Com_Counter_Shelf_B_C,24,24,0,False,False,True
BPi_FoliageGrass_A_MA_Amber_C,24,0,-24,True,False,False
BPi_Mansion_C_Wall_400_2F_Room_C,24,0,-24,True,False,False
BPI_EvObj_RainbowRoad_Torch_B_C,24,0,-24,True,False,False
BPI_EvObj_RainbowRoad_Torch_C_C,24,0,-24,True,False,False
BPi_Wilderness_B_End_H2_B_C,24,0,-24,True,False,False
BPi_Wilderness_B_Loop_H4_B_C,24,0,-24,True,False,False
BPi_Torch_B_CityFence_C,24,0,-24,True,False,False
SimpleConstructionScript,24,9,-15,False,False,True
BPi_Wilderness_B_Start_H2_C_C,24,0,-24,True,False,False
DistributionFloatParticleParameter,23,8,-15,False,False,True
BP_EnvBdgMD_Forest_A_Indoor_Window_A_C,23,0,-23,True,False,False
BP_Wilderness_B_Loop_H4_A_C,22,0,-22,True,False,False
BPI_Obj_Lamp_Lantern_A_L_on_C,22,0,-22,True,False,False
ParticleModuleCameraOffset,22,0,-22,True,False,False
BP_FallHeaven_A_C,22,0,-22,True,False,False
BPI_Obj_Lamp_Edlus_3C_on_C,21,0,-21,True,False,False
ParticleModuleSubUVMovie,21,8,-13,False,False,True
BPI_Obj_Lamp_Table_A_on_Hell_C,21,0,-21,True,False,False
BP_FxPS_Env_FogArea_A_C,21,0,-21,True,False,False
Border,20,0,-20,True,False,False
BorderSlot,20,0,-20,True,False,False
BP_WoodHouse_A_Indoor_Window_A_Open_C,20,0,-20,True,False,False
BPI_Obj_Com_Pub_Shelf_B_B_C,20,14,-6,False,False,True
BP_Wilderness_B_Start_H2_A_C,20,0,-20,True,False,False
BPI_Obj_Com_Pub_Shelf_A_B_C,20,14,-6,False,False,True
BPI_Obj_Float_Torch_B_C,20,0,-20,True,False,False
DistributionVectorUniform,20,12,-8,False,False,True
ParticleModuleAccelerationConstant,20,4,-16,False,False,True
BPI_Obj_Candle_C_on_C,20,0,-20,True,False,False
BPI_Obj_Com_Deck_Pillar_AY_S_10_C,20,16,-4,False,False,True
BPI_Obj_Atsani_Propeller_A_C,20,0,-20,True,False,False
BPI_Obj_Mount_Fireplace_A_C,20,27,7,False,False,True
ShipAnimation_Blueprint2_C,19,15,-4,False,False,True
ParticleModuleTypeDataMesh,19,0,-19,True,False,False
BPI_Obj_Lamp_Lantern_A_R_on_C,18,0,-18,True,False,False
BPI_Obj_Lamp_Edlus_3C_on_Hell_C,18,0,-18,True,False,False
BPi_LightStudio_Sea_A_C,18,0,-18,True,False,False
BPi_Mansion_C_Wall_400_2F_Arch_C,18,0,-18,True,False,False
ParticleModuleMeshRotation,18,0,-18,True,False,False
BPI_Obj_SmallShrine_C_C,18,0,-18,True,False,False
ParticleModuleOrbit,18,4,-14,False,False,True
DiceBoundsVolume,17,0,-17,True,False,False
BPI_Obj_Torch_B_Wall_L_EnvSound_C,17,4,-13,False,False,True
BP_Chandelier_A_Church_Hell_C,17,1,-16,False,False,True
BPi_Fireplace_D_C,17,0,-17,True,False,False
BPI_Obj_Candle_B_on_Fire_C,16,0,-16,True,False,False
BPI_Obj_Heaven_Crystal_A_C,16,14,-2,False,False,True
BPi_Wilderness_B_End_H4_B_C,16,0,-16,True,False,False
BPI_Obj_Fire_Blizzerd_NoLod_R_C,16,2,-14,False,False,True
BPi_Torch_Wall_C_C,16,0,-16,True,False,False
BPI_Obj_HellCliff_Torch_A_C,16,16,0,False,False,True
BPI_Obj_Lamp_Lantern_A_HellCliff_on_C,16,0,-16,True,False,False
BPi_Wilderness_B_Start_H4_B_C,16,0,-16,True,False,False
BPI_Obj_Torch_B_Wall_R_EnvSound_C,16,6,-10,False,False,True
BP_FallHeaven_B_C,15,0,-15,True,False,False
BPi_LightStudio_DngMns_A_C,15,0,-15,True,False,False
BP_SandSmoke_A_Omg_C,15,0,-15,True,False,False
BPI_Obj_Lamp_Residence_A_SR2_on_C,15,0,-15,True,False,False
CanvasPanelSlot,15,0,-15,True,False,False
HorizontalBoxSlot,15,0,-15,True,False,False
BPI_Obj_Fireplace_A_C,15,12,-3,False,False,True
BPii_BillboardSM_Candle_A_Stick_Tall_C,15,0,-15,True,False,False
Spacer,14,0,-14,True,False,False
RotatingMovementComponent,14,13,-1,False,False,True
InheritableComponentHandler,14,0,-14,True,False,False
BPI_Obj_Desert_Shelf_A_C,14,14,0,False,False,True
BP_Chandelier_B_Residence_A_C,14,17,3,False,False,True
BPI_Obj_Snow_Lantern_A_NoLod_C,14,2,-12,False,False,True
BPI_Obj_Bernstein_Street_Lamp_A_C,14,1,-13,False,False,True
BPI_Obj_Torch_Ground_NoEnvSound_NoLod_C,14,0,-14,True,False,False
BPI_Obj_Candle_B_on_Hell_C,14,0,-14,True,False,False
TimelineTemplate,13,0,-13,True,False,False
CurveVector,13,2,-11,False,False,True
BPi_LightStudio_DngCave_A_C,13,0,-13,True,False,False
BPI_Obj_Scarab_lantern_A_L_on_C,12,0,-12,True,False,False
BP_LightStudio_C,12,4,-8,False,False,True
BPI_Obj_Float_Torch_A_C,12,0,-12,True,False,False
BPi_Mansion_C_Wall_Door_A_1F_C,12,0,-12,True,False,False
BP_EnvObjMD_Gondola_A_NoPaddle_C,12,0,-12,True,False,False
BP_Wilderness_B_Start_H3_A_C,12,0,-12,True,False,False
BPI_Obj_Scarab_lantern_A_R_on_C,12,0,-12,True,False,False
BPI_Obj_Torch_B_Wall_NoLod_C,12,0,-12,True,False,False
BPi_MJSpline_Hammock_A_C,12,0,-12,True,False,False
BP_Obj_Plain_Windmill_A_impeller_C,11,11,0,False,False,True
BPI_Obj_Torch_A_Hornburg_Decal_C,11,0,-11,True,False,False
BPI_Obj_Tatrocha_Lamp_A_on_R_C,11,0,-11,True,False,False
BP_EnvFX_Snow_Light_C,11,0,-11,True,False,False
BPI_Obj_Lamp_Residence_A_SL2_on_C,11,0,-11,True,False,False
BPi_MJSpline_Curse_Curse_Sinew_C_Spline_Collision_C,11,0,-11,True,False,False
BPi_Wilderness_B_Start_H4_E_C,11,0,-11,True,False,False
BPi_Mansion_C_Window_400_Room_1F_C,10,0,-10,True,False,False
BP_Mount_A_Indoor_Window_A_Open_C,10,0,-10,True,False,False
BP_FallSeed_A_C,10,0,-10,True,False,False
BP_Chandelier_A_Church_Hornburg_C,10,0,-10,True,False,False
BPI_Obj_Lamp_C_C,10,0,-10,True,False,False
BPI_Obj_Com_KitchenSet_F_C,10,16,6,False,False,True
ParticleModuleLocationPrimitiveCylinder,10,4,-6,False,False,True
BP_Lamp_J_C,10,0,-10,True,False,False
BPi_Mansion_D_Wall_400_2F_Room_C,10,0,-10,True,False,False
TextBlock,10,0,-10,True,False,False
BP_Sea_A_Indoor_Window_B_Open_C,10,0,-10,True,False,False
BPi_Wilderness_B_Loop_H2_E_C,9,0,-9,True,False,False
BPI_Obj_SeikaTorch_Blue_B_C,9,0,-9,True,False,False
SequenceDirector_C,9,0,-9,True,False,False
BPI_Obj_SeikaTorch_Blue_Gacha_C,9,4,-5,False,False,True
StaticMesh,9,0,-9,True,False,False
NavCollision,9,0,-9,True,False,False
BPI_Obj_Com_Deck_Pillar_AY_S_8_C,9,8,-1,False,False,True
BPI_Obj_Com_Deck_Pillar_AY_S_6_C,9,8,-1,False,False,True
BP_Chandelier_A_Church_NoDither_C,9,0,-9,True,False,False
BP_Mount_A_Indoor_Window_D_Open_C,9,0,-9,True,False,False
ParticleModulePivotOffset,9,4,-5,False,False,True
CameraActor,9,3,-6,False,False,True
ParticleModuleSizeScaleBySpeed,9,4,-5,False,False,True
BP_EnvObjMD_Gondola_A_Paddle_C,9,0,-9,True,False,False
CameraComponent,9,3,-6,False,False,True
BPI_Obj_CherryBlossomViewing_A_C,8,0,-8,True,False,False
TutorialMapWalkTriggerActor_C,8,0,-8,True,False,False
BPii_BillboardSM_Candle_A_Stick_C,8,0,-8,True,False,False
BPI_Obj_Torch_Wall_A_NoLod_C,8,16,8,False,False,True
MovieSceneFadeTrack,8,0,-8,True,False,False
BP_Wilderness_B_Loop_H3_A_C,8,0,-8,True,False,False
MovieSceneFadeSection,8,0,-8,True,False,False
BP_Wilderness_B_Start_H4_A_C,8,0,-8,True,False,False
BPi_LightStudio_Wld_A_C,8,0,-8,True,False,False
BPi_LightStudio_Cty_A_C,8,0,-8,True,False,False
SymbolDefeatContentsComponent,8,0,-8,True,False,False
BPi_Torch_Wall_A_C,8,0,-8,True,False,False
BPi_Campset_A_Bonfire_C,8,0,-8,True,False,False
BPI_Obj_Pyramid_Torch_B_C,8,0,-8,True,False,False
MovieSceneSlomoSection,8,0,-8,True,False,False
MovieSceneSlomoTrack,8,0,-8,True,False,False
CanvasPanel,8,0,-8,True,False,False
WidgetBlueprintGeneratedClass,8,0,-8,True,False,False
WidgetTree,8,0,-8,True,False,False
BPI_Obj_Float_Fire_A_C,8,0,-8,True,False,False
SizeBox,7,0,-7,True,False,False
BPI_Obj_Torch_A_Far_C,7,4,-3,False,False,True
BP_Sea_A_Indoor_Window_C_Open_C,7,0,-7,True,False,False
BP_AmbientDust_C,7,0,-7,True,False,False
BattleGodbeastPerformUtilityActor,7,0,-7,True,False,False
BPi_LightStudio_Dst_A_C,7,0,-7,True,False,False
BP_WaterFall_C_C,7,7,0,False,False,True
BPI_Obj_Lamp_Table_A_Hornburg_on_C,7,0,-7,True,False,False
BPI_Obj_River_Cupboard_wall_C,7,5,-2,False,False,True
SizeBoxSlot,7,0,-7,True,False,False
BPi_LightStudio_Snow_A_C,7,0,-7,True,False,False
ParticleModuleSubUV,7,0,-7,True,False,False
ParticleModuleVectorFieldLocal,7,0,-7,True,False,False
BP_Chandelier_B_Residence_A_Dither_C,7,4,-3,False,False,True
BPI_Obj_Plain_Cupboard_Wall_C,7,6,-1,False,False,True
BP_Mount_A_Indoor_Window_B_Open_C,7,0,-7,True,False,False
BPI_Obj_Com_Room_Staires_14_Left_C,7,6,-1,False,False,True
BP_Env_LeafLit_A_C,6,0,-6,True,False,False
RarityStar_QPS02_C,6,0,-6,True,False,False
BP_Lamp_D_CandleStick_One_Wall_Dungeon_C,6,0,-6,True,False,False
BP_Mount_A_Indoor_Window_C_Open_C,6,0,-6,True,False,False
BP_FogSheet_B_Cliff_F_A_BP2_C,6,30,24,False,False,True
BPI_Break_Rotato_B_C,6,9,3,False,False,True
BP_FallSeed_B_C,6,0,-6,True,False,False
DrawSphereComponent,6,0,-6,True,False,False
BPI_Obj_Torch_Wall_Hornburg_C_R_C,6,0,-6,True,False,False
BPI_Obj_Torch_Hang_B_3Room_C,6,4,-2,False,False,True
BPI_Obj_Tatrocha_Lamp_A_on_L_C,6,0,-6,True,False,False
BPI_Obj_SeikaTorch_EnvSound_C,6,4,-2,False,False,True
BP_City_A_Indoor_Window_A_C,6,0,-6,True,False,False
FoliageType_InstancedStaticMesh,6,5,-1,False,False,True
BP_Church_Sea_A_Indoor_A_Window_A_C,6,0,-6,True,False,False
BP_Candles_A_C,6,0,-6,True,False,False
BPI_Bernstein_Temple_Fence_Base_A_C,6,0,-6,True,False,False
BPI_Obj_Fire_A_NoLod_C,6,0,-6,True,False,False
BPi_Torch_TorchStand_EvilAltar_Small_A_C,6,0,-6,True,False,False
ParticleModuleAttractorPointGravity,6,0,-6,True,False,False
BPI_Obj_Lamp_Edlus_3C_on_feeble_C,6,0,-6,True,False,False
BPI_Obj_Edlus_Kithenset_B_C,6,2,-4,False,False,True
BPI_Obj_Torch_Wall_Hornburg_C_L_C,6,0,-6,True,False,False
RarityStar_C,5,0,-5,True,False,False
NavigationSystemConfig,5,0,-5,True,False,False
ParticleModuleLight,5,4,-1,False,False,True
BPI_Obj_Seed_Switch_A_On_C,5,0,-5,True,False,False
BP_Sea_A_Indoor_Window_A_Open_C,5,0,-5,True,False,False
ModelComponent,5,5,0,False,False,True
BPI_Obj_Atsani_Airship_C,5,0,-5,True,False,False
BPi_Mansion_D_Wall_200_2F_Room_C,5,0,-5,True,False,False
BPI_Obj_HellPlant_fuusa_A_C,5,0,-5,True,False,False
BPi_Mansion_D_Wall_400_2F_C,5,0,-5,True,False,False
ParticleModuleVectorFieldRotationRate,5,0,-5,True,False,False
BPI_Obj_Bernstein_Torch_A_L_C,5,0,-5,True,False,False
BPI_Obj_Bernstein_Torch_A_R_C,5,0,-5,True,False,False
BPI_Obj_Com_KitchenSet_Empty_C_C,5,4,-1,False,False,True
BPi_LightStudio_Wld_B_C,5,0,-5,True,False,False
BPi_LightStudio_Isd_A_C,5,0,-5,True,False,False
BPI_Obj_Com_Deck_Pillar_AY_S_14_C,5,5,0,False,False,True
ScaleBoxSlot,5,0,-5,True,False,False
ScaleBox,5,0,-5,True,False,False
BP_City_B_Outdoor_BuildingSet_A_C,5,0,-5,True,False,False
PhysicalMaterial,5,7,2,False,False,True
BPI_Obj_Torch_D_Cave_EnvSound_Blizzerd_C,5,0,-5,True,False,False
MapEditCursor_C,4,8,4,False,False,True
BP_Mansion_D_Window_400_C,4,0,-4,True,False,False
BPi_Mansion_C_Wall_100_1F_C,4,0,-4,True,False,False
BP_Sea_CultFacility_A_Indoor_Window_A_Open_C,4,0,-4,True,False,False
BP_Sea_CultFacility_A_Indoor_Window_B_Open_C,4,0,-4,True,False,False
InstancedStaticMeshComponent,4,0,-4,True,False,False
HorizontalBox,4,0,-4,True,False,False
BP_Wilderness_B_End_H4_A_C,4,0,-4,True,False,False
