file_path,particle_modules,emitters,total_objects
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID319_01/Eff_Btl_ID319_SP_A.json,651,58,713
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID602/Eff_Btl_PC_Tornado_SP_A.json,648,58,712
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill05_C.json,637,50,722
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Krosa/ID228_01/Eff_Krosa_Btl_ID228_Skill11_A.json,620,55,675
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exdark_A.json,601,55,664
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Staff_All_SP_A.json,600,45,660
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/THE/Eff_THE_Btl_PC_SelfDestruct_A.json,572,52,634
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Fan_SP_A.json,569,59,612
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID84/Eff_Btl_PC_SpritRage_A.json,565,42,619
Game/Effect/Resource/V1_0_0/Particles/Btl/Collabo/V1_5_BraveryDefault/Eff_ClbBD_Btl_PC_AfterImage_B.json,557,51,617
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/THE/Eff_THE_Btl_PC_Berserker_A.json,545,53,603
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID316_01/Eff_Btl_ID316_Skill04_A.json,544,51,614
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Danas/ID218_01/Eff_Danas_Btl_ID218_Skill05_A.json,539,48,614
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID221_01/Eff_Danas_Btl_ID221_SP_A.json,532,43,583
Game/Effect/Resource/V1_0_0/Particles/Env/V3/FxPS_Env_Constellation_E1.json,531,48,597
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID178/Eff_Btl_ID178_SP_A.json,529,54,593
Game/Effect/Resource/V1_0_0/Particles/Env/FxPS_Env_HellBlkFire_A.json,520,36,596
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Thunder_SP_All_A.json,520,55,578
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_HolyLight_SP_All_A.json,520,47,597
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Danas/ID222_01/Eff_Danas_Btl_ID222_Skill05_A.json,512,63,617
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID217_01/Eff_Atsani_Btl_ID217_SP01_A.json,508,52,566
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Dark_SP_All_A.json,497,47,548
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9020_01/Eff_Nakri_Btl_ID9020_Skill04_A_Re.json,495,41,556
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9020_01/Eff_Nakri_Btl_ID9020_Skill04_A.json,495,41,556
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Jangmi/ID213_01/Eff_Jangmi_Btl_ID213_Skill06_A.json,493,51,546
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Ragasa/Eff_Ragasa_Btl_Ene_210SP_A.json,490,40,547
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID210/Eff_Ragasa_Btl_ID210_SP_A_Re.json,490,40,547
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID210/Eff_Ragasa_Btl_ID210_SP_A.json,490,40,547
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9016_01/Eff_Btl_ID9016_Skill06_A.json,486,39,558
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Danas/ID219_01/Eff_Danas_Btl_ID219_Skill03_B.json,481,45,533
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID191_01/Eff_Btl_ID191_Skill01_A.json,480,38,518
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Krosa/Enemy/Eff_Krosa_Btl_Enemy06_Skill04_A.json,471,45,523
Game/Effect/Resource/V1_0_0/Particles/Btl/Collabo/V1_5_BraveryDefault/Eff_ClbBD_Btl_PC_HavensGate_All_Shot_A.json,466,44,541
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Jangmi/ID212_01/Eff_Jangmi_Btl_ID212_Skill01_A.json,462,51,517
Game/Effect/Resource/V1_0_0/Particles/Event/FxPS_Eve_BlackSoul_Ring_A.json,458,55,508
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill07_C.json,457,35,500
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID131/Eff_Btl_PC_DragGuillotine_A.json,454,36,497
Game/Effect/Resource/V1_0_0/Particles/Event/Eff_Eve_SazantosGateOpen_A.json,446,39,489
Game/Effect/Resource/V1_0_0/Particles/Event/FxPs_Eve_FlameRising_A.json,446,39,489
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID191_01/Eff_Btl_ID191_Skill01_A_Re.json,445,38,483
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID205/Eff_Bolaven_Btl_PC_BeliefFlag_A.json,445,36,483
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID182/Eff_Btl_ID182_SP_A.json,443,41,493
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID908_01/Eff_Btl_ID908_SP_C.json,432,41,507
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/Eff_Btl_ID305_Skill01_D.json,430,33,479
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9030_01/Eff_Btl_ID9030_SP_B.json,429,31,474
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9030_01/Eff_Btl_ID9030_SP_B_Re.json,429,31,475
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_Teleport_A.json,428,35,473
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID614_01/Eff_Btl_ID614_SP_A.json,428,39,496
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_Danas_Energy_A.json,425,36,464
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill06_C.json,421,32,460
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill04_C.json,421,33,474
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/Eff_Btl_PC_PaluaCall_A.json,419,31,480
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9019_01/Eff_Nakri_Btl_ID9019_Skill05_A.json,419,33,465
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID615/Eff_Btl_PC_Nephti_SP_B.json,419,31,480
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID904_01/Eff_Btl_ID904_SP_B.json,419,31,472
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill03_C.json,418,32,457
Game/Effect/Resource/V1_0_0/Particles/Btl/Collabo/V1_5_BraveryDefault/Eff_ClbBD_Btl_PC_Holy_Shot_A.json,418,36,460
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Danas/ID219_01/Eff_Danas_Btl_ID219_Skill02_A.json,412,37,457
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID1/Eff_Btl_PC_SilverFrozen_A.json,411,31,451
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID214_01/Eff_Hagupit_Btl_ID214_SP01_A.json,408,33,464
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID92/Eff_Btl_PC_HardEight_B.json,406,35,450
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID301_01/Eff_Btl_ID301_Skill07_B.json,403,27,450
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID153_01/Eff_Btl_ID153_SP01_A.json,399,33,444
Game/Effect/Resource/V1_0_0/Particles/Event/FxPS_Eve_PhotoSphere_A.json,396,32,440
Game/Effect/Resource/V1_0_0/Particles/Btl/Enemy/Boss_3210/Eff_Btl_Boss3210_Skill08_A.json,395,29,444
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_PieceGather_B.json,393,34,428
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exice_C.json,390,27,445
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9031_01/Eff_Btl_ID9031_SP_A.json,388,33,429
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9031_01/Eff_Btl_ID9031_SP_A_Re.json,388,33,429
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill07_A.json,386,29,428
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Hagupit/ID214_01/Eff_Hagupit_Btl_ID214_Skill03_A.json,384,42,429
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_Danas_Explosion_C.json,381,29,411
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID903/Eff_Btl_PC_Transform_Auguste_SP01_B.json,379,32,419
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill06_A.json,377,28,418
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID910_01/Eff_Btl_ID910_SP_A.json,377,32,414
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID908_01/Eff_Btl_ID908_Skill01_D.json,376,30,411
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill03_A.json,375,28,416
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID77/Eff_Btl_ID77_SP_B.json,375,30,408
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID216_01/Eff_Hagupit_Btl_ID216_SP01_A_Re.json,375,29,416
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID216_01/Eff_Hagupit_Btl_ID216_SP01_A.json,375,29,416
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_CS_FireMov_A.json,373,41,414
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill05_A.json,372,28,413
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9030_01/Eff_Btl_ID9030_Skill02_A.json,372,30,411
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9026_01/Eff_Btl_ID9026_SP_A.json,372,28,413
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID206/Eff_Bolaven_Btl_PC_DragonAttack_A.json,372,31,407
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/Eff_Btl_ID305_Skill01_B.json,371,28,412
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9020_01/Eff_Nakri_Btl_ID9020_Skill07_A.json,371,35,407
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID215_01/Eff_Hagupit_Btl_ID215_SP_A.json,371,31,404
Game/Effect/Resource/V1_0_0/Particles/Btl/Other/Eff_Btl_TowerTurn_Death_All_A.json,371,30,406
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_ScriptDark_D.json,370,50,413
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID186/Eff_ClbBD_Btl_PC_Thunger_A.json,370,35,404
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID901/Eff_Btl_PC_Transform_Herminia_SP01_B.json,369,30,403
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID907_02/Eff_Btl_ID907_02_SP_A.json,369,28,398
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID141_01/Eff_Btl_ID141_Skill04_B.json,367,32,410
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID141_01/Eff_Btl_ID141_Skill04_B_Re.json,367,32,410
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Dark_SP_A.json,367,28,402
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID904_01/Eff_Btl_ID904_Skill10_A.json,365,39,400
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Bolaven/Eff_Bolaven_Btl_PC_FierceTiger_A.json,363,29,407
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Btl_PC_HolyLightXL_All_Shot_A.json,362,34,417
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Wind_SP_All_A.json,360,25,386
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_ScriptDark_C.json,359,35,411
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID184/Eff_ClbBD_Btl_PC_MoonFlowerWindow_A.json,358,30,399
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID71/Eff_Btl_PC_DeathSceneCut_SP_B.json,357,27,387
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/THE/Eff_THE_Btl_PC_Slow_C.json,351,34,385
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_MagicActivation_A.json,349,48,390
Game/Effect/Resource/V1_0_0/Particles/Btl/Enemy/Boss_3210/Eff_Btl_Boss3210_Skill01_B.json,348,30,381
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID187/Eff_ClbBD_Btl_PC_PhantomDance_A.json,347,38,391
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID309/Eff_Btl_ID309_SP_D.json,347,30,380
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Btl_Com_LightL_Single_Shot_A.json,346,38,377
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID611/Eff_Btl_ID611_SP_A.json,344,31,378
Game/Effect/Resource/V1_0_0/Particles/Event/Eff_Event_PowerCrystal_Start_A.json,343,26,375
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID158_01/Eff_Btl_ID158_Skill05_A.json,343,26,371
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9025_01/Eff_Btl_ID9025_Skill06_A.json,342,28,375
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Atsani/Common/Eff_Atsani_Btl_MagicActivation_A.json,342,48,383
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/hunter/Eff_Btl_OnslaughtL_ALL_Shot_01_A.json,341,28,385
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID77/Eff_Btl_ID77_SP_A.json,341,27,371
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9020_01/Eff_Nakri_Btl_ID9020_Skill06_A.json,339,30,369
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9020_01/Eff_Nakri_Btl_ID9020_Skill06_A_Re.json,339,30,369
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exthunder_C.json,337,30,370
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Atsani/ID9012_01/Eff_Atsani_Btl_ID9012_Skill02_A.json,337,33,371
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Jangmi/ID213_01/Eff_Jangmi_Btl_ID213_Skill01_A.json,337,45,379
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID901/Eff_Btl_PC_Transform_Herminia_SP01_A.json,337,29,374
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Ice_SP_All_A.json,337,27,390
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Blt_Com_DarkXL_Single_Shot_A.json,336,23,359
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID207/Eff_Ragasa_Btl_ID207_SP_B.json,335,26,363
Game/Effect/Resource/V1_0_0/Particles/Env/V3/FxPS_Env_Constellation_E2.json,334,34,380
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9018_01/Eff_Btl_ID9018_SP_A.json,334,30,362
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_PieceShine_A.json,332,27,376
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID612/Eff_Btl_ID612_SP_A.json,332,27,378
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID204/Eff_Bolaven_Btl_PC_SunFall_A.json,332,27,364
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Hagupit/ID214_01/Eff_Hagupit_Btl_ID214_Skill05_A2.json,330,28,368
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID544_01/Eff_Btl_ID544_SP_A.json,330,26,361
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9023_01/Eff_Nakri_Btl_ID9023_Skill02_A.json,328,28,358
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_BattleSpark_A.json,327,30,359
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/Eff_Btl_ID303_Skill01_A.json,327,23,364
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9013_01/Eff_Btl_ID9013_Skill01_A.json,327,27,358
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID316_01/Eff_Btl_ID316_Skill03_A.json,325,30,360
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID211_01/Eff_Jangmi_Btl_ID211_SP01_A.json,325,34,354
Game/Effect/Resource/V1_0_0/Particles/Btl/Enemy/Eff_Btl_Ene_Book_SP_A.json,324,26,356
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_PC_Book_SP_A.json,324,26,356
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID312_01/Eff_Btl_ID312_SP_B.json,323,25,358
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Atsani/ID9012_01/Eff_Atsani_Btl_ID9012_Skill03_A.json,322,33,356
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID100/Eff_Btl_PC_BeliefAurora_A.json,322,29,355
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID908_01/Eff_Btl_ID908_Skill01_B.json,321,26,347
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_CS_Trans_A.json,320,24,352
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID68/Eff_Btl_PC_AkatsukiRondo_A.json,319,32,355
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_Danas_Piece_A.json,318,26,361
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_CS_Piece_A.json,318,26,361
Game/Effect/Resource/V1_0_0/Particles/Btl/Parameter/Eff_Btl_AddWeakness_All_Attribute.json,316,27,349
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID69/Eff_Btl_PC_TrueAdamantine_A.json,316,33,350
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_02/Eff_Btl_ID907_02_Skill06_A.json,315,30,351
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Krosa/Enemy/Eff_Krosa_Btl_Enemy03_Skill01_A.json,315,27,345
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID301_01/Eff_Btl_ID301_SP01_B.json,315,26,354
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID309/Eff_Btl_ID309_SP_B.json,314,28,344
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/Eff_Btl_ID611_Skill01_A.json,313,31,368
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID218_01/Eff_Danas_Btl_ID218_SP_A.json,313,27,350
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/Common/Eff_Btl_Axe_WindThunder_SP_Single_A.json,313,26,345
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_ScriptDark_B.json,311,30,354
Game/Effect/Resource/V1_0_0/Particles/Event/Eff_Eve_SazantosGateOpen_B.json,310,26,339
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID614_01/Eff_Btl_ID614_Skill06_A.json,309,25,335
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_01/Eff_Btl_ID907_Skill02_A.json,308,30,340
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exice_C_Optimize.json,308,22,353
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Danas/ID222_01/Eff_Danas_Btl_ID222_Skill09_A.json,308,26,343
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID309/Eff_Btl_ID309_SP_C.json,308,27,337
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Nakri/ID9019_01/Eff_Nakri_Btl_ID9019_Skill04_A.json,307,28,336
Game/Effect/Resource/V1_0_0/Particles/Btl/weapon/Bow/Eff_Btl_PC_BowXLL_All_Shot_A.json,307,22,336
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID208/Eff_Ragasa_Btl_ID208_SP_C.json,306,28,334
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID208/Eff_Ragasa_Btl_ID208_SP_B.json,306,28,334
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID212_01/Eff_Jangmi_Btl_ID212_SP01_A.json,306,24,336
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_02/Eff_Btl_ID907_02_Skill08_D.json,305,24,333
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID317_01/Eff_Btl_ID317_SP_A.json,305,24,333
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_HiddenCloud_A.json,304,24,329
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Btl_ID77_Skill01_B.json,304,25,332
Game/Effect/Resource/V1_0_0/Particles/Btl/Summon/Summon_0001_A1/Eff_Btl_PC_Summon_0001_A2.json,304,25,332
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Atsani/ID9010_01/Eff_Atsani_Btl_ID9010_Skill03_B.json,303,26,333
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID162/Eff_Btl_PC_CharityFinale_A.json,302,25,331
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Danas/ID223_01/Eff_Danas_Btl_ID223_Skill05_B.json,301,26,328
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID209/Eff_Ragasa_Btl_ID209_SP_B.json,301,30,340
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_Fireworks_F.json,300,54,330
Game/Effect/Resource/V1_0_0/Particles/Btl/Parameter/Eff_Btl_AddWeakness_Thunder_Ex.json,300,23,324
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_Danas_Explosion_A.json,299,25,326
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID317_01/Eff_Btl_ID317_Skill03_A.json,299,23,322
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9026_01/Eff_Btl_ID9026_Skill02_C.json,299,23,328
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_02/Eff_Btl_ID907_02_Skill07_A.json,298,23,322
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exlight_C.json,297,30,343
Game/Effect/Resource/V1_0_0/Particles/Btl/Parameter/Eff_Btl_AddWeakness_Dark_Ex.json,297,23,325
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Hagupit/ID214_01/Eff_Hagupit_Btl_ID214_Skill04_A.json,297,24,324
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID209/Eff_Ragasa_Btl_ID209_SP_A.json,297,30,336
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID317_01/Eff_Btl_ID317_Skill06_A.json,296,24,326
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_02/Eff_Btl_ID907_02_Skill04_A.json,296,24,323
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID84/Eff_Btl_PC_SpritRage_C.json,296,23,323
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9030_01/Eff_Btl_ID9030_Skill03_A.json,295,23,326
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID313_01/Eff_Btl_ID313_SP_A.json,295,30,335
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_01/Eff_Btl_ID907_Skill01_A.json,294,20,326
Game/Effect/Resource/V1_0_0/Particles/Btl/weapon/sword/Eff_Btl_PC_SwordXLL_All_A.json,294,21,318
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID907_02/Eff_Btl_ID907_02_Skill05_B.json,293,20,325
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID9030_01/Eff_Btl_ID9030_Skill01_A.json,292,24,321
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Eff_Btl_Axe_WindThunder_L_All_A.json,290,23,319
