asset_path,folder,has_incoming_refs
Game/Character/Resource/V1_0_0/Bos/B01/ChrTX_Chd_NPC_B01_017_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B01/ChrTX_Chd_NPC_B01_017_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B01/ChrTX_Chd_NPC_B01_018_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B01/ChrTX_Chd_NPC_B01_018_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_001_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_001_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_001_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_001_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_001_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_002_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_002_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_003_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_b_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_c_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_c_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_c_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_d_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_d_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_d_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_004_e_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_005_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_005_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_005_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_005_b_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_005_b_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_005_b_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_006_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_006_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_007_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_007_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_008_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_008_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_008_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_008_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_008_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B02/ChrTX_Chd_NPC_B02_009_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_001_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_001_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_001_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_002_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_002_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_002_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_002_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_002_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_004_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_004_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_005/ChrTX_Chd_NPC_B03_005_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_005_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_005_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_006_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_006_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_007_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_008_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_008_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_009_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B03/ChrTX_Chd_NPC_B03_010_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_001_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_001_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_001_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_001_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_001_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_002_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_002_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_003_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_003_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_003_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_004_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_004_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_004_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_005_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_005_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_005_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_b_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_b_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_b_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_006_c_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_007_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_007_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_007_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_007_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_007_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_007_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_b_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_b_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_b_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_c_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_c_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_008_c_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_009_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_009_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_009_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_009_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_009_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_009_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_010_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_010_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_010_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_011_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_011_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_011_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_011_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_011_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_011_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_012_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_012_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_012_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_013_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_013_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_013_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_014_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_a/ChrTX_Chd_NPC_B04_015_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_b_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_015_b_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_016_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_016_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_016_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_017_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_017_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_017_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_018_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_018_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_019_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_019_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_019_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_019_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_019_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_019_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_020_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_020_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_020_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_021_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_021_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_021_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_022_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_022_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_022_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_022_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_022_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_022_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_023_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_023_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_023_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_023_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_023_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_023_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_024_c_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_025_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_026_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_026_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_026_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_026_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_026_b_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_026_b_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_027_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_027_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_027_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_028_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_028_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_028_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_029_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_029_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_029_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_029_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_029_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_030_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_030_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_030_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_030_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_030_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_030_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_031_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_032_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_032_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_032_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_033_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_034_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_034_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_036_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_039_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_039_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_039_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_040_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_040_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_040_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_041_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_041_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_041_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_041_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_041_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_041_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_042_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_042_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_042_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/ChrTX_Chd_NPC_B04_043_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B04/V_2_15_2/ChrTX_Chd_NPC_B04_024_b_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001/ChrTX_Chd_NPC_B05_001_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001/ChrTX_Chd_NPC_B05_001_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001/ChrTX_Chd_NPC_B05_001_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001_a/ChrTX_Chd_NPC_B05_001_a_B,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001_a/ChrTX_Chd_NPC_B05_001_a_E,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001_a/ChrTX_Chd_NPC_B05_001_a_N,Character,no
Game/Character/Resource/V1_0_0/Bos/B05/ChrTX_Chd_NPC_B05_001_b/ChrTX_Chd_NPC_B05_001_b_E,Character,no
