# CharaPlayer.m_id	CharaPlayer.m_Name	english_text
9001	117784	Sofia
9002	117785	Fiore
9003	117786	Dancer H'aanit
9004	117941	Apothecary Primrose
9005	117942	Hunter Tressa
9007	117997	Millard
9008	117998	Lumis
9009	117999	Dancer Alaune
9010	1118228	Sazantos (CotC)
9011	1118230	Summoner Ophilia
9012	1118232	White Mage Agnea
9013	1118256	Dancer Bargello
9014	1118258	Thief Tatloch
9015	1118261	Apothecary Rinyuu
9016	1118275	Elrica
9017	1118277	Hunter Ditraina
9018	1118292	Conjurer Hikari
9019	1118294	Hero Cyrus
9020	1118296	Sage Viola
9021	1118298	Gadabout Molrusso
9022	1118300	Martial Artist Partitio
9023	1118302	Priest Therese
9024	1118304	Warrior Signa
9025	1118333	Inventor Ochette
9026	1118335	Arcanist Osvald
9027	1118337	Dancer Castti
9028	118361	Scholar Rondo
9029	118363	Hunter Eltrix
9030	118365	Armsmaster Richard
9031	118367	Runelord Alaune
9032	118387	Pardis III (EX)
9033	118389	Elrica (EX)
9034	118394	Tiziano
9035	118396	Levina
10101	10101	Viator
10201	10201	Reime
10202	9118273	Levina (EX)
10203	9118274	Lynette (EX)
10302	10302	Ludo
10402	10402	Carinda
10503	10503	Celsus
10603	10603	Heidne
10704	10704	Esperre
10804	10804	Macy
10905	10905	Phenn
11001	1116290	Princess Elrica (CotC)
11002	1116291	Princess Alaune (CotC)
11003	128568	Bargello
11004	128570	Pierro Della (CotC)
11005	11005	Delitia
11006	1116345	Sazantos the Flameguard
11007	1116292	Queen Alaune
11106	11106	Pius
11206	11206	Laurana
11216	11206	Laurana
11307	11307	Xerc
11407	11407	Alexia
11508	11508	Goodwin
11608	11608	Saoirse
20101	20101	Olberic
20202	20202	Tressa
20303	20303	Therion
20404	20404	Alfyn
20505	20505	H'aanit
20606	20606	Ophilia
20707	20707	Cyrus
20808	20808	Primrose
30103	30103	Bargello
30207	30207	Alaune
30301	30301	Richard
30407	30407	Solon
30501	30501	Eltrix
30701	30701	Rondo
30808	30808	Tatloch
40204	40204	Stia
40214	40204	Stia
50101	50101	Sazantos
50111	50101	Sazantos
50112	50101	Sazantos
50201	50201	El
60107	60107	Isla
60108	116321	Richard
60109	10603	Heidne
60110	20303	Therion
60111	20404	Alfyn
60112	20101	Olberic
60113	50101	Sazantos
60114	50101	Sazantos
60115	50101	Sazantos
87000	118086	Fried, Captain of the Watch
87001	117871	Hugo
87003	116449	Captain Gimel
87004	116672	Mattias
87005	87005	Miguel
90001	28613	Fiore
90002	28675	Manuel
90003	28691	Z'aanta (CotC)
90004	28685	Ophilia (CotC)
90005	116740	Ninarana
110201	1118264	Sigrid
111005	128571	Fra (CotC)
118090	118090	Nomos the Scholar
